FTR,B365H,B365D,B365A
1,1.33,5.5,8
2,5,4.2,1.62
2,4,4,1.8
1,1.7,3.6,5.25
0,1.18,8,13
0,1.2,7,13
0,1.53,4.5,5.75
1,1.83,3.8,4.2
0,1.95,3.5,4
2,1.57,4.33,5.5
2,7,5.25,1.4
0,1.36,5.25,8
0,1.44,4.75,7
0,2.5,3.5,2.75
1,3.1,3.75,2.15
2,2.05,3.6,3.5
0,2.55,3.6,2.63
0,1.91,4,3.6
2,6,4.33,1.53
0,1.5,4.33,6.5
2,4.33,4.2,1.73
2,3.75,3.6,1.95
0,1.25,5.75,11
2,17,7,1.18
0,1.83,3.6,4
1,1.33,5.25,8
1,1.75,3.8,4.2
0,2.5,3.4,2.75
0,1.22,7,11
2,2.38,4,2.6
0,1.8,4,4
1,1.67,4,4.75
1,3,3.75,2.2
0,1.91,4,3.6
0,1.5,4.75,5.75
0,3.25,3.6,2.15
1,2.8,3.5,2.45
0,3.5,3.8,1.95
1,2.63,3.75,2.45
0,1.83,4.2,3.8
0,2.2,3.6,3.2
1,1.29,6,9.5
1,2.2,3.3,3.4
1,4.5,4,1.73
0,1.2,8,11
0,1.6,4.33,5
1,3,3.8,2.2
0,1.36,5.5,7.5
1,1.91,3.8,3.8
1,2,3.75,3.5
0,2.7,3.4,2.63
0,1.95,3.8,3.6
1,2.45,3.6,2.75
1,3.3,4.2,1.95
0,1.1,10,19
1,2.38,3.8,2.75
0,1.3,6,8
0,1.09,12,21
0,2,4,3.4
2,9.5,5.25,1.33
1,1.7,4,4.75
0,1.65,4,5.25
2,2.38,3.8,2.8
0,3.75,3.8,1.91
2,2.5,3.6,2.7
2,5,4.33,1.62
1,4.75,4.5,1.6
1,7,5.25,1.4
0,1.4,5.5,6.5
0,2.7,4,2.3
0,1.44,5,6.5
1,3.5,3.75,2
0,1.1,11,19
1,2.1,3.4,3.5
1,2.4,3.9,2.6
2,1.22,7,12
2,2.38,3.6,2.8
2,1.29,5.75,10
0,1.7,4.2,4.5
2,3.1,3.75,2.15
2,2.75,3.6,2.45
2,8.5,4.5,1.4
0,2.05,3.5,3.6
0,1.85,4,3.6
0,2.1,3.6,3.4
2,5.25,4.5,1.57
0,1.44,5,6
2,2.7,3.6,2.5
0,2.75,3.6,2.4
0,7,5,1.4
0,1.3,6.5,7.5
2,6.5,5,1.4
1,5.5,5,1.5
1,2.1,3.5,3.5
1,1.5,4.75,5.5
0,1.22,7,11
0,1.95,3.8,3.6
0,2.3,3.5,3
1,2.15,3.8,3
0,2.25,3.8,2.9
2,4.2,4.2,1.75
2,8,6,1.3
0,2.15,3.8,3
1,2.6,3.6,2.55
0,1.22,7.5,11
1,2.1,3.8,3.2
2,3.4,4,1.95
2,4.75,4.2,1.65
0,1.08,12,21
0,2.75,3.75,2.45
0,1.65,4.5,4.5
0,1.5,5.75,5
0,2.38,3.75,2.8
2,13,7,1.2
2,1.95,4,3.5
0,1.4,4.8,7.5
1,1.57,4.75,4.75
0,1.36,5.75,7
0,1.8,4.2,3.8
2,2.88,3.5,2.38
2,3.4,3.8,2
2,7,5.5,1.36
1,4.2,4.33,1.7
2,6.5,6,1.36
2,3.3,4,1.95
0,2.75,4,2.3
0,1.18,8,12
2,2.9,3.9,2.2
2,2.15,4,2.9
2,3,3.5,2.3
0,1.45,5,6
0,1.85,4.33,3.6
0,1.17,8,15
2,2.9,3.9,2.2
0,1.08,12,21
2,7,6,1.33
